,Title,Year Published,Min Players,Max Players,Best Players,Play Time,Age,Complexity,Designers,Artists,Publishers,Categories,Mechanisms
12804,Life on the Farm Board Game,(1996),2,6,2–3,"[120, 120]",8,1.38,"[Keith Gohl, Ev Johnson]",[],[We R FUN],"[Animals, Children's Game, Economic, Educational, Farming, Racing]","[Action Point Allowance System, Roll / Spin and Move]"
12805,Saloon,(2001),3,6,6,"[30, 30]",10,1.07,"[Ralf Sandfuchs, Mark Sienholz]",[Lutz Winter],"[Krimsus Krimskrams-Kiste, Portal Games]","[American West, Card Game, Fighting, Real-time]",[Take That]
12806,Duel: Once Upon a Game in the West,(2010),2,5,none,"[15, 15]",8,1.00,"[Jorge Piñan, Ignacio Sánchez Usera]","[Markus Bülow, Edigrafica games]","[Edigráfica Games, Sphinx Spieleverlag]","[American West, Card Game]",[Simultaneous Action Selection]
12807,Cranium Brain,Breaks,2,6,none,"[1, 1]",8,1.00,[],[],"[Cranium, Inc.]","[Party Game, Puzzle, Trivia, Word Game]","[Acting, Line Drawing, Paper-and-Pencil, Partnerships, Singing]"
12808,Rules of the Game,(1995),2,6,1,"[45, 45]",10,1.43,[Robert R. Poole],[Jim Brown],"[Hasbro, Poole Enterprise, Inc.]","[Sports, Trivia]",[Roll / Spin and Move]
12809,Cats' Mansion,(1984),2,4,none,"[20, 20]",10,1.36,"[Martin Davison, Judith Duffey, Seven Towns]",[(Uncredited)],"[Alga, Chieftain Products, Editrice Giochi, Schmidt International, Schmidt Spiele, Spear's Games]","[Animals, Bluffing]","[Area Movement, Point to Point Movement, Secret Unit Deployment]"
12810,Game of Games,(1986),2,4,3–4,"[Time:, Time:]",7,1.13,"[Gil Druckman, A. Weiner]",[],"[MB Giochi, MB Jeux, MB Juegos, MB Spellen, Milton Bradley, Playskool]","[Action / Dexterity, Memory, Racing, Sports, Word Game]","[Acting, Dice Rolling, Memory, Roll / Spin and Move]"
12811,30 Second Mysteries,(1995),2,2,none,"[10, 10]",12,1.00,[A. Robert Moog],[],[University Games],[Deduction],[]
12812,ZombieTown,(2007),3,6,6,"[60, 60]",12,2.17,[Kerry Breitenstein],"[Dave Aikins, Sławomir Maniak, Patrick McEvoy, Kurt Miller]","[Twilight Creations, Inc.]","[Exploration, Fighting, Horror, Zombies]",[Point to Point Movement]
12813,Der Dativ ist dem Genitiv sein Tod,(2006),2,5,4–5,"[25, 25]",12,1.33,"[Markus Reichert, Barbara Schmidts]",[Claus Stephan],[KOSMOS],"[Educational, Trivia, Word Game]",[Voting]
12814,Name That Tune 80's Edition DVD Game,(2005),2,4,none,"[Time:, Time:]",––,1.11,[(Uncredited)],[],[Imagination Games],"[Movies / TV / Radio theme, Music, Party Game, Trivia]",[Betting/Wagering]
